fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,fg%,3pt%,ft%,team,home,date,game_id
34-81,8-23,12-16,9,27,36,5,15,26,1,0,88,75.0,34.8,34.8,Grizzlies,1,2018-02-07,400975554
32-82,6-28,22-24,12,35,47,5,17,32,0,1,92,91.7,21.4,21.4,Grizzlies,0,2018-02-11,400975585
34-77,16-37,26-40,9,29,38,3,9,23,1,0,110,65.0,43.2,43.2,Thunder,1,2018-02-11,400975585
40-81,17-37,24-35,8,30,38,6,9,19,0,0,121,68.6,45.9,45.9,Thunder,0,2018-02-14,400975607
44-86,14-27,12-15,6,35,41,2,12,25,0,0,114,80.0,51.9,51.9,Grizzlies,1,2018-02-14,400975607
40-87,11-29,21-22,7,39,46,9,18,23,0,0,112,95.5,37.9,37.9,Cavaliers,0,2018-02-23,400975624
33-84,9-24,14-18,5,32,37,4,21,25,2,0,89,77.8,37.5,37.5,Grizzlies,1,2018-02-23,400975624
35-80,5-11,14-17,9,31,40,3,19,22,0,0,89,82.4,45.5,45.5,Grizzlies,0,2018-02-24,400975631
41-89,12-33,21-27,14,36,50,6,10,17,0,0,115,77.8,36.4,36.4,Heat,1,2018-02-24,400975631
34-78,5-23,25-32,5,35,40,2,10,22,0,0,98,78.1,21.7,21.7,Grizzlies,0,2018-02-26,400975644
39-86,12-37,19-27,9,35,44,5,8,23,0,0,109,70.4,32.4,32.4,Celtics,1,2018-02-26,400975644
38-83,6-21,28-38,8,39,47,6,16,28,0,0,110,73.7,28.6,28.6,Suns,0,2018-02-28,400975664
33-87,13-31,23-28,11,37,48,8,20,29,0,0,102,82.1,41.9,41.9,Grizzlies,1,2018-02-28,400975664
40-73,6-22,22-26,6,31,37,3,22,22,2,0,108,84.6,27.3,27.3,Nuggets,0,2018-03-02,400975677
40-91,10-27,12-15,17,23,40,3,20,23,0,0,102,80.0,37.0,37.0,Grizzlies,1,2018-03-02,400975677
38-93,6-22,18-26,13,33,46,3,9,26,1,0,100,69.2,27.3,27.3,Grizzlies,0,2018-03-03,400975682
36-72,8-25,27-33,5,39,44,9,14,23,0,0,107,81.8,32.0,32.0,Magic,1,2018-03-03,400975682
42-80,8-22,6-9,6,36,42,5,20,22,0,0,98,66.7,36.4,36.4,Grizzlies,0,2018-03-05,400975700
35-76,6-22,24-31,4,32,36,4,11,10,1,0,100,77.4,27.3,27.3,Spurs,1,2018-03-05,400975700
40-82,10-29,20-25,9,24,33,3,14,26,1,0,110,80.0,34.5,34.5,Grizzlies,0,2018-03-07,400975713
42-79,11-29,24-32,9,32,41,1,20,22,0,0,119,75.0,37.9,37.9,Bulls,1,2018-03-07,400975713
33-74,13-32,16-22,8,40,48,8,17,17,3,0,95,72.7,40.6,40.6,Jazz,0,2018-03-09,400975726
31-83,6-22,10-14,10,29,39,5,15,22,0,0,78,71.4,27.3,27.3,Grizzlies,1,2018-03-09,400975726
30-84,7-18,13-17,9,32,41,4,14,24,0,0,80,76.5,38.9,38.9,Grizzlies,0,2018-03-10,400975735
37-77,10-29,30-35,9,43,52,3,10,18,1,0,114,85.7,34.5,34.5,Mavericks,1,2018-03-10,400975735
47-81,12-25,15-22,11,36,47,5,18,22,1,1,121,68.2,48.0,48.0,Bucks,0,2018-03-12,400975748
42-89,9-27,10-19,10,21,31,5,9,23,0,0,103,52.6,33.3,33.3,Grizzlies,1,2018-03-12,400975748
35-80,15-41,26-33,8,34,42,2,13,23,2,0,111,78.8,36.6,36.6,Bulls,0,2018-03-15,400975770
38-87,13-35,21-25,11,36,47,4,14,22,1,0,110,84.0,37.1,37.1,Grizzlies,1,2018-03-15,400975770
32-87,9-33,21-29,18,31,49,5,7,25,3,0,94,72.4,27.3,27.3,Nuggets,0,2018-03-17,400975786
33-81,13-32,22-28,14,33,47,9,11,20,0,0,101,78.6,40.6,40.6,Grizzlies,1,2018-03-17,400975786
46-88,10-23,13-20,11,31,42,3,16,33,1,0,115,65.0,43.5,43.5,Grizzlies,0,2018-03-19,400975799
36-72,16-40,30-40,9,32,41,9,22,22,0,0,118,75.0,40.0,40.0,Nets,1,2018-03-19,400975799
40-99,9-27,16-20,15,32,47,2,13,20,0,1,105,80.0,33.3,33.3,Grizzlies,0,2018-03-21,400975812
46-84,11-31,16-20,4,34,38,4,14,21,0,0,119,80.0,35.5,35.5,76ers,1,2018-03-21,400975812
30-78,4-18,15-21,9,29,38,7,19,24,0,1,79,71.4,22.2,22.2,Grizzlies,0,2018-03-22,400975818
49-92,19-40,23-27,11,42,53,4,8,17,1,0,140,85.2,47.5,47.5,Hornets,1,2018-03-22,400975818
35-86,13-38,17-25,11,33,44,2,11,20,1,0,100,68.0,34.2,34.2,Lakers,0,2018-03-24,400975838
35-84,5-29,18-22,11,32,43,6,10,21,1,0,93,81.8,17.2,17.2,Grizzlies,1,2018-03-24,400975838
40-84,15-31,6-9,7,28,35,4,13,23,1,0,101,66.7,48.4,48.4,Grizzlies,0,2018-03-26,400975852
33-79,8-24,19-24,7,30,37,6,14,15,2,0,93,79.2,33.3,33.3,Timberwolves,1,2018-03-26,400975852
38-79,8-30,19-30,8,30,38,8,12,20,0,0,103,63.3,26.7,26.7,Trail Blazers,0,2018-03-28,400975865
41-84,13-25,13-23,11,35,46,2,15,24,0,0,108,56.5,52.0,52.0,Grizzlies,1,2018-03-28,400975865
39-81,9-23,10-15,7,26,33,4,13,21,2,0,97,66.7,39.1,39.1,Grizzlies,0,2018-03-30,400975881
40-74,12-31,15-26,7,31,38,5,15,19,2,0,107,57.7,38.7,38.7,Jazz,1,2018-03-30,400975881
40-88,9-21,9-12,9,33,42,5,17,19,0,0,98,75.0,42.9,42.9,Grizzlies,0,2018-04-01,400975900
39-84,12-38,23-25,8,35,43,2,13,15,1,0,113,92.0,31.6,31.6,Trail Blazers,1,2018-04-01,400975900
37-93,10-32,11-15,11,26,37,1,21,19,0,0,95,73.3,31.3,31.3,Grizzlies,0,2018-04-04,400975919
45-86,16-36,17-19,11,37,48,7,16,19,2,0,123,89.5,44.4,44.4,Pelicans,1,2018-04-04,400975919
40-85,6-24,8-12,10,32,42,5,15,21,1,0,94,66.7,25.0,25.0,Kings,0,2018-04-06,400975934
37-84,6-24,13-18,12,26,38,7,15,12,0,0,93,72.2,25.0,25.0,Grizzlies,1,2018-04-06,400975934
38-93,23-47,18-23,14,24,38,0,12,18,1,0,117,78.3,48.9,48.9,Pistons,0,2018-04-08,400975945
48-83,16-33,18-24,8,35,43,4,12,18,2,0,130,75.0,48.5,48.5,Grizzlies,1,2018-04-08,400975945
35-85,5-18,19-21,10,25,35,5,17,20,0,0,94,90.5,27.8,27.8,Grizzlies,0,2018-04-09,400975955
42-87,7-22,22-26,18,34,52,7,17,18,1,0,113,84.6,31.8,31.8,Timberwolves,1,2018-04-09,400975955
44-91,13-31,22-24,10,32,42,2,13,22,0,0,123,91.7,41.9,41.9,Grizzlies,0,2018-04-11,400975973
47-85,20-43,23-32,8,37,45,3,14,23,0,0,137,71.9,46.5,46.5,Thunder,1,2018-04-11,400975973
44-101,8-30,13-17,11,33,44,4,13,20,0,0,109,76.5,26.7,26.7,Heat,0,2017-10-18,400974702
43-90,8-21,22-29,11,39,50,9,14,18,1,0,116,75.9,38.1,38.1,Magic,1,2017-10-18,400974702
43-96,7-19,15-21,13,32,45,4,10,18,0,0,108,71.4,36.8,36.8,Pacers,0,2017-10-21,400974780
45-87,14-34,8-14,6,39,45,11,14,19,0,0,112,57.1,41.2,41.2,Heat,1,2017-10-21,400974780
36-76,7-17,14-18,6,35,41,1,20,17,1,1,93,77.8,41.2,41.2,Hawks,0,2017-10-23,400974793
39-85,14-37,12-18,10,31,41,6,19,19,0,0,104,66.7,37.8,37.8,Heat,1,2017-10-23,400974793
42-76,10-17,23-30,8,36,44,3,13,20,0,0,117,76.7,58.8,58.8,Spurs,0,2017-10-25,400974810
37-80,9-26,17-18,4,28,32,2,9,25,0,0,100,94.4,34.6,34.6,Heat,1,2017-10-25,400974810
34-81,6-23,22-26,11,30,41,5,12,14,0,1,96,84.6,26.1,26.1,Celtics,0,2017-10-28,400974829
34-79,7-31,15-16,6,34,40,9,19,23,0,0,90,93.8,22.6,22.6,Heat,1,2017-10-28,400974829
41-91,11-23,32-35,10,30,40,4,16,25,0,1,125,91.4,47.8,47.8,Timberwolves,0,2017-10-30,400974844
49-93,7-27,17-25,15,35,50,5,24,28,0,0,122,68.0,25.9,25.9,Heat,1,2017-10-30,400974844
36-89,7-28,12-19,7,47,54,6,12,19,0,0,91,63.2,25.0,25.0,Bulls,0,2017-11-01,400974861
34-83,12-31,17-19,3,45,48,0,11,19,0,0,97,89.5,38.7,38.7,Heat,1,2017-11-01,400974861
36-77,15-37,7-11,8,33,41,6,23,24,0,0,94,63.6,40.5,40.5,Heat,0,2017-11-03,400974878
36-80,9-23,14-25,13,28,41,6,17,16,0,0,95,56.0,39.1,39.1,Nuggets,1,2017-11-03,400974878
37-84,14-36,16-19,10,27,37,6,16,26,0,0,104,84.2,38.9,38.9,Heat,0,2017-11-05,400974888
34-87,9-31,24-30,18,32,50,4,15,22,1,0,101,80.0,29.0,29.0,Clippers,1,2017-11-05,400974888
30-83,8-26,12-17,7,37,44,6,20,20,3,0,80,70.6,30.8,30.8,Heat,0,2017-11-06,400974899
32-87,11-32,22-24,13,38,51,10,14,21,1,0,97,91.7,34.4,34.4,Warriors,1,2017-11-06,400974899
43-81,12-30,28-35,11,42,53,4,14,25,1,0,126,80.0,40.0,40.0,Heat,0,2017-11-08,400974913
40-88,12-29,23-30,6,28,34,2,11,29,0,0,115,76.7,41.4,41.4,Suns,1,2017-11-08,400974913
30-77,10-25,14-18,7,41,48,6,19,20,1,0,84,77.8,40.0,40.0,Heat,0,2017-11-10,400974926
25-74,5-21,19-22,4,36,40,7,17,20,1,0,74,86.4,23.8,23.8,Jazz,1,2017-11-10,400974926
39-90,13-37,12-16,7,32,39,5,9,22,0,0,103,75.0,35.1,35.1,Heat,0,2017-11-12,400974940
42-87,14-28,14-20,11,43,54,5,13,17,0,0,112,70.0,50.0,50.0,Pistons,1,2017-11-12,400974940
32-78,9-19,29-31,11,29,40,2,12,19,0,0,102,93.5,47.4,47.4,Wizards,0,2017-11-15,400974956
32-78,13-30,16-19,12,30,42,3,17,20,0,0,93,84.2,43.3,43.3,Heat,1,2017-11-15,400974956
34-83,10-35,13-18,10,42,52,7,15,19,0,0,91,72.2,28.6,28.6,Heat,0,2017-11-17,400974969
32-84,10-35,14-16,7,39,46,4,12,17,0,0,88,87.5,28.6,28.6,Wizards,1,2017-11-17,400974969
51-85,11-23,7-8,9,33,42,7,12,14,2,0,120,87.5,47.8,47.8,Pacers,0,2017-11-19,400974986
35-83,13-37,12-14,10,25,35,2,14,11,2,0,95,85.7,35.1,35.1,Heat,1,2017-11-19,400974986
35-84,9-26,19-27,7,30,37,4,11,19,0,1,98,70.4,34.6,34.6,Celtics,0,2017-11-22,400975008
40-81,10-28,14-16,7,41,48,4,16,22,0,0,104,87.5,35.7,35.7,Heat,1,2017-11-22,400975008
38-80,19-39,14-16,9,33,42,4,13,24,1,0,109,87.5,48.7,48.7,Heat,0,2017-11-24,400975023
37-84,7-17,16-26,13,31,44,3,10,16,0,0,97,61.5,41.2,41.2,Timberwolves,1,2017-11-24,400975023
34-75,13-32,19-23,1,44,45,5,12,14,1,0,100,82.6,40.6,40.6,Heat,0,2017-11-26,400975038
33-89,14-33,13-16,7,40,47,2,13,18,1,0,93,81.3,42.4,42.4,Bulls,1,2017-11-26,400975038
37-84,10-31,13-20,8,34,42,5,15,19,0,0,97,65.0,32.3,32.3,Heat,0,2017-11-28,400975049
40-81,11-33,17-23,5,40,45,2,13,17,1,0,108,73.9,33.3,33.3,Cavaliers,1,2017-11-28,400975049
32-84,10-38,12-20,9,22,31,4,15,20,0,0,86,60.0,26.3,26.3,Heat,0,2017-11-29,400975057
44-73,5-13,22-26,8,44,52,5,20,20,0,0,115,84.6,38.5,38.5,Knicks,1,2017-11-29,400975057
38-79,5-20,19-21,10,30,40,5,22,24,0,0,100,90.5,25.0,25.0,Hornets,0,2017-12-01,400975072
39-80,14-35,13-21,9,30,39,4,21,24,1,0,105,61.9,40.0,40.0,Heat,1,2017-12-01,400975072
47-84,11-30,18-24,7,34,41,4,9,14,1,0,123,75.0,36.7,36.7,Warriors,0,2017-12-03,400975086
33-81,14-37,15-17,5,23,28,4,11,15,1,0,95,88.2,37.8,37.8,Heat,1,2017-12-03,400975086
39-72,18-34,9-12,6,23,29,4,18,16,1,0,105,75.0,52.9,52.9,Heat,0,2017-12-06,400975112
46-87,13-25,12-14,10,24,34,7,11,13,0,0,117,85.7,52.0,52.0,Spurs,1,2017-12-06,400975112
42-90,8-27,9-14,8,36,44,8,5,17,1,0,101,64.3,29.6,29.6,Heat,0,2017-12-09,400975127
33-81,7-27,16-19,8,35,43,3,12,17,2,0,89,84.2,25.9,25.9,Nets,1,2017-12-09,400975127
37-66,14-27,19-24,2,33,35,8,13,22,1,0,107,79.2,51.9,51.9,Heat,0,2017-12-11,400975144
28-72,8-27,18-27,6,25,31,1,14,22,1,0,82,66.7,29.6,29.6,Grizzlies,1,2017-12-11,400975144
36-72,10-28,20-23,5,28,33,2,11,21,0,0,102,87.0,35.7,35.7,Trail Blazers,0,2017-12-13,400975159
34-72,13-30,14-23,10,26,36,1,15,21,1,0,95,60.9,43.3,43.3,Heat,1,2017-12-13,400975159
39-78,11-31,15-17,5,35,40,8,16,23,2,0,104,88.2,35.5,35.5,Heat,0,2017-12-15,400975169
34-83,10-27,20-27,11,31,42,1,16,14,1,0,98,74.1,37.0,37.0,Hornets,1,2017-12-15,400975169
35-80,8-28,7-14,12,34,46,5,17,22,1,0,85,50.0,28.6,28.6,Clippers,0,2017-12-16,400975183
31-82,12-35,16-21,9,28,37,8,8,15,1,0,90,76.2,34.3,34.3,Heat,1,2017-12-16,400975183
36-79,7-25,25-30,8,34,42,6,19,28,0,0,104,83.3,28.0,28.0,Heat,0,2017-12-18,400975194
38-83,8-22,26-31,10,29,39,6,12,23,1,0,110,83.9,36.4,36.4,Hawks,1,2017-12-18,400975194
33-75,10-28,14-25,6,40,46,3,12,16,3,0,90,56.0,35.7,35.7,Heat,0,2017-12-20,400975207
30-80,13-32,16-21,5,39,44,5,10,22,0,0,89,76.2,40.6,40.6,Celtics,1,2017-12-20,400975207
38-75,17-35,8-11,3,19,22,2,8,12,0,0,101,72.7,48.6,48.6,Mavericks,0,2017-12-22,400975225
46-72,16-25,5-6,2,33,35,3,11,15,1,0,113,83.3,64.0,64.0,Heat,1,2017-12-22,400975225
39-73,15-25,16-19,6,31,37,10,14,20,0,0,109,84.2,60.0,60.0,Pelicans,0,2017-12-23,400975237
36-85,10-32,12-15,13,25,38,3,13,19,1,0,94,80.0,31.3,31.3,Heat,1,2017-12-23,400975237
33-81,5-20,18-22,10,32,42,5,17,20,0,0,89,81.8,25.0,25.0,Magic,0,2017-12-26,400975246
41-91,11-33,14-17,16,37,53,5,15,20,2,0,107,82.4,33.3,33.3,Heat,1,2017-12-26,400975246
39-79,11-26,22-25,8,46,54,4,18,23,1,0,111,88.0,42.3,42.3,Nets,0,2017-12-29,400975269
30-89,3-26,24-31,12,31,43,3,11,18,0,0,87,77.4,11.5,11.5,Heat,1,2017-12-29,400975269
45-88,12-24,15-18,11,29,40,2,8,17,2,0,117,83.3,50.0,50.0,Heat,0,2017-12-30,400975277
44-81,12-27,11-15,9,28,37,9,12,20,0,0,111,73.3,44.4,44.4,Magic,1,2017-12-30,400975277
41-86,9-24,13-16,5,30,35,2,9,14,0,0,104,81.3,37.5,37.5,Pistons,0,2018-01-03,400975304
43-84,17-34,8-11,7,34,41,3,12,16,0,0,111,72.7,50.0,50.0,Heat,1,2018-01-03,400975304
39-80,5-13,20-23,8,31,39,7,19,26,0,0,103,87.0,38.5,38.5,Knicks,0,2018-01-05,400975314
38-94,12-42,19-20,15,29,44,5,14,19,1,0,107,95.0,28.6,28.6,Heat,1,2018-01-05,400975314
37-82,10-32,18-20,8,36,44,5,11,18,0,0,102,90.0,31.3,31.3,Jazz,0,2018-01-07,400975332
40-83,9-29,14-20,8,29,37,6,8,16,0,0,103,70.0,31.0,31.0,Heat,1,2018-01-07,400975332
39-97,4-22,8-10,20,44,64,14,13,19,1,0,90,80.0,18.2,18.2,Heat,0,2018-01-09,400975345
35-90,7-21,12-15,7,30,37,12,5,16,0,0,89,80.0,33.3,33.3,Raptors,1,2018-01-09,400975345
43-81,13-30,15-21,6,31,37,6,15,25,1,0,114,71.4,43.3,43.3,Heat,0,2018-01-10,400975350
43-87,1-18,19-29,12,33,45,3,14,23,0,0,106,65.5,5.6,5.6,Pacers,1,2018-01-10,400975350
25-79,4-28,25-27,8,32,40,1,15,23,0,0,79,92.6,14.3,14.3,Bucks,0,2018-01-14,400975380
35-76,11-29,16-20,3,46,49,8,13,18,2,0,97,80.0,37.9,37.9,Heat,1,2018-01-14,400975380
40-84,12-36,19-24,4,36,40,4,14,19,0,0,111,79.2,33.3,33.3,Heat,0,2018-01-15,400975390
42-88,16-39,19-22,7,38,45,2,9,23,1,0,119,86.4,41.0,41.0,Bulls,1,2018-01-15,400975390
38-82,10-24,20-27,10,36,46,7,15,28,0,0,106,74.1,41.7,41.7,Heat,0,2018-01-17,400975405
33-76,11-28,24-32,5,33,38,4,9,25,1,1,101,75.0,39.3,39.3,Bucks,1,2018-01-17,400975405
35-84,7-22,18-25,12,31,43,7,11,22,2,0,95,72.0,31.8,31.8,Heat,0,2018-01-19,400975414
36-76,9-32,20-26,10,34,44,8,14,18,0,0,101,76.9,28.1,28.1,Nets,1,2018-01-19,400975414
43-87,13-28,7-12,8,39,47,6,14,17,0,0,106,58.3,46.4,46.4,Heat,0,2018-01-20,400975422
41-90,7-27,16-21,8,35,43,8,7,12,1,0,105,76.2,25.9,25.9,Hornets,1,2018-01-20,400975422
39-82,7-30,5-9,9,33,42,4,16,18,2,0,90,55.6,23.3,23.3,Heat,0,2018-01-22,400975435
36-81,15-37,12-18,8,30,38,3,14,15,0,0,99,66.7,40.5,40.5,Rockets,1,2018-01-22,400975435
38-81,5-12,8-14,5,33,38,6,13,21,0,0,89,57.1,41.7,41.7,Kings,0,2018-01-25,400975456
31-82,12-34,14-18,7,39,46,4,13,19,4,0,88,77.8,35.3,35.3,Heat,1,2018-01-25,400975456
29-84,5-24,28-35,12,34,46,6,7,15,1,0,91,80.0,20.8,20.8,Hornets,0,2018-01-27,400975473
38-85,8-26,11-18,11,40,51,5,12,24,2,0,95,61.1,30.8,30.8,Heat,1,2018-01-27,400975473
34-75,12-31,15-19,11,30,41,11,16,19,1,0,95,78.9,38.7,38.7,Heat,0,2018-01-29,400975488
33-86,8-29,14-16,11,29,40,3,12,22,0,0,88,87.5,27.6,27.6,Mavericks,1,2018-01-29,400975488
36-83,3-28,14-25,6,46,52,5,19,25,1,0,89,56.0,10.7,10.7,Heat,0,2018-01-31,400975503
28-80,6-26,29-38,7,38,45,5,16,20,0,0,91,76.3,23.1,23.1,Cavaliers,1,2018-01-31,400975503
34-87,12-37,17-26,16,33,49,5,11,16,1,0,97,65.4,32.4,32.4,Heat,0,2018-02-02,400975516
42-85,8-24,11-15,9,30,39,4,10,23,0,0,103,73.3,33.3,33.3,76ers,1,2018-02-02,400975516
44-91,14-36,5-7,7,26,33,4,11,14,1,0,107,71.4,38.9,38.9,Heat,0,2018-02-03,400975522
44-84,9-26,14-17,13,36,49,5,17,12,1,0,111,82.4,34.6,34.6,Pistons,1,2018-02-03,400975522
41-84,13-30,16-19,5,34,39,5,11,26,0,0,111,84.2,43.3,43.3,Magic,0,2018-02-05,400975538
40-93,3-23,26-35,17,36,53,4,12,19,0,0,109,74.3,13.0,13.0,Heat,1,2018-02-05,400975538
38-74,12-31,21-26,4,31,35,6,9,16,1,0,109,80.8,38.7,38.7,Rockets,0,2018-02-07,400975552
39-88,13-32,10-12,15,26,41,3,13,17,0,0,101,83.3,40.6,40.6,Heat,1,2018-02-07,400975552
32-76,6-20,15-17,2,35,37,9,17,20,1,0,85,88.2,30.0,30.0,Bucks,0,2018-02-09,400975567
32-88,10-26,17-18,13,38,51,7,16,21,0,0,91,94.4,38.5,38.5,Heat,1,2018-02-09,400975567
42-86,12-29,16-19,10,41,51,3,16,18,0,0,112,84.2,41.4,41.4,Heat,0,2018-02-13,400975593
42-90,13-35,18-23,7,33,40,3,8,19,0,0,115,78.3,37.1,37.1,Raptors,1,2018-02-13,400975593
35-77,11-27,21-29,3,26,29,5,10,21,1,0,102,72.4,40.7,40.7,Heat,0,2018-02-14,400975601
39-92,9-35,17-25,23,37,60,2,17,23,2,0,104,68.0,25.7,25.7,76ers,1,2018-02-14,400975601
50-108,6-18,17-26,13,45,58,5,13,23,0,0,123,65.4,33.3,33.3,Heat,0,2018-02-23,400975625
48-108,8-31,20-24,13,43,56,13,15,18,0,0,124,83.3,25.8,25.8,Pelicans,1,2018-02-23,400975625
35-80,5-11,14-17,9,31,40,3,19,22,0,0,89,82.4,45.5,45.5,Grizzlies,0,2018-02-24,400975631
41-89,12-33,21-27,14,36,50,6,10,17,0,0,115,77.8,36.4,36.4,Heat,1,2018-02-24,400975631
35-84,12-31,19-23,10,34,44,3,23,24,0,0,101,82.6,38.7,38.7,76ers,0,2018-02-27,400975655
36-82,9-27,21-28,11,26,37,9,15,19,1,0,102,75.0,33.3,33.3,Heat,1,2018-02-27,400975655
47-79,16-29,21-26,6,30,36,5,13,17,1,0,131,80.8,55.2,55.2,Lakers,0,2018-03-01,400975668
46-95,9-31,12-16,14,26,40,5,11,21,0,0,113,75.0,29.0,29.0,Heat,1,2018-03-01,400975668
37-89,7-24,15-21,17,29,46,2,18,23,1,0,96,71.4,29.2,29.2,Pistons,0,2018-03-03,400975684
37-82,12-29,19-28,15,30,45,5,13,20,2,1,105,67.9,41.4,41.4,Heat,1,2018-03-03,400975684
42-87,10-24,9-18,12,28,40,2,17,20,1,0,103,50.0,41.7,41.7,Suns,0,2018-03-05,400975698
47-92,12-36,19-23,16,35,51,6,10,14,0,0,125,82.6,33.3,33.3,Heat,1,2018-03-05,400975698
42-94,9-33,20-27,13,28,41,3,14,24,1,0,113,74.1,27.3,27.3,Heat,0,2018-03-06,400975705
40-80,14-24,23-27,8,33,41,3,18,22,1,0,117,85.2,58.3,58.3,Wizards,1,2018-03-06,400975705
34-86,15-37,16-21,9,37,46,4,18,20,0,0,99,76.2,40.5,40.5,76ers,0,2018-03-08,400975719
42-89,14-26,10-18,6,43,49,8,14,20,2,0,108,55.6,53.8,53.8,Heat,1,2018-03-08,400975719
34-77,7-20,27-34,8,32,40,2,15,20,0,0,102,79.4,35.0,35.0,Wizards,0,2018-03-10,400975734
52-88,10-28,15-21,5,37,42,5,10,25,0,0,129,71.4,35.7,35.7,Heat,1,2018-03-10,400975734
39-91,10-31,11-16,10,36,46,4,11,24,0,0,99,68.8,32.3,32.3,Heat,0,2018-03-12,400975750
38-83,14-36,25-30,9,41,50,6,12,15,1,0,115,83.3,38.9,38.9,Trail Blazers,1,2018-03-12,400975750
41-99,18-43,19-21,15,38,53,2,14,23,1,0,119,90.5,41.9,41.9,Heat,0,2018-03-14,400975764
48-94,8-24,19-25,8,35,43,7,11,21,0,0,123,76.0,33.3,33.3,Kings,1,2018-03-14,400975764
36-94,10-36,10-14,12,31,43,6,11,18,0,0,92,71.4,27.8,27.8,Heat,0,2018-03-16,400975780
32-76,9-19,18-22,7,42,49,4,20,17,0,0,91,81.8,47.4,47.4,Lakers,1,2018-03-16,400975780
46-100,18-38,31-37,11,35,46,5,13,25,1,0,141,83.8,47.4,47.4,Nuggets,0,2018-03-19,400975800
56-102,20-36,17-27,7,39,46,11,11,26,0,0,149,63.0,55.6,55.6,Heat,1,2018-03-19,400975800
39-89,10-31,10-12,13,27,40,1,14,16,1,0,98,83.3,32.3,32.3,Knicks,0,2018-03-21,400975814
45-81,15-34,14-19,5,27,32,2,7,17,1,0,119,73.7,44.1,44.1,Heat,1,2018-03-21,400975814
34-87,13-30,18-20,8,33,41,1,10,25,2,0,99,90.0,43.3,43.3,Heat,0,2018-03-23,400975830
36-84,8-26,25-33,12,39,51,1,11,23,0,0,105,75.8,30.8,30.8,Thunder,1,2018-03-23,400975830
41-86,14-35,11-14,7,32,39,3,17,20,0,0,107,78.6,40.0,40.0,Heat,0,2018-03-25,400975842
44-90,8-23,17-21,10,41,51,7,17,17,0,0,113,81.0,34.8,34.8,Pacers,1,2018-03-25,400975842
31-85,4-26,13-19,12,30,42,1,14,18,1,0,79,68.4,15.4,15.4,Cavaliers,0,2018-03-27,400975856
37-78,9-29,15-20,9,35,44,9,14,18,2,0,98,75.0,31.0,31.0,Heat,1,2018-03-27,400975856
33-90,6-26,20-26,14,36,50,5,18,19,0,0,92,76.9,23.1,23.1,Bulls,0,2018-03-29,400975871
37-82,7-27,22-24,7,37,44,7,17,23,0,0,103,91.7,25.9,25.9,Heat,1,2018-03-29,400975871
39-91,10-35,22-28,7,40,47,5,15,24,2,0,110,78.6,28.6,28.6,Nets,0,2018-03-31,400975887
43-95,7-17,16-21,10,41,51,6,18,22,0,0,109,76.2,41.2,41.2,Heat,1,2018-03-31,400975887
37-88,13-33,11-15,12,37,49,1,15,15,3,0,98,73.3,39.4,39.4,Hawks,0,2018-04-03,400975904
41-91,8-33,11-13,11,35,46,8,14,16,0,0,101,84.6,24.2,24.2,Heat,1,2018-04-03,400975904
42-94,17-38,14-17,10,44,54,10,11,17,1,0,115,82.4,44.7,44.7,Heat,0,2018-04-04,400975918
33-90,9-30,11-17,10,38,48,6,15,16,1,0,86,64.7,30.0,30.0,Hawks,1,2018-04-04,400975918
35-88,7-27,21-22,7,35,42,5,13,19,0,0,98,95.5,25.9,25.9,Heat,0,2018-04-06,400975932
45-89,18-37,14-21,9,42,51,5,12,23,0,0,122,66.7,48.6,48.6,Knicks,1,2018-04-06,400975932
35-81,14-35,31-38,7,36,43,4,9,15,1,0,115,81.6,40.0,40.0,Thunder,0,2018-04-09,400975952
40-87,5-22,8-14,8,35,43,4,15,24,0,0,93,57.1,22.7,22.7,Heat,1,2018-04-09,400975952
42-92,9-30,16-21,9,38,47,10,13,24,1,0,109,76.2,30.0,30.0,Raptors,0,2018-04-11,400975967
46-106,11-26,13-20,19,37,56,7,9,18,0,0,116,65.0,42.3,42.3,Heat,1,2018-04-11,400975967
38-76,7-21,25-30,6,39,45,4,15,22,0,0,108,83.3,33.3,33.3,Bucks,0,2017-10-18,400974703
39-91,11-28,11-21,11,32,43,2,12,27,3,0,100,52.4,39.3,39.3,Celtics,1,2017-10-18,400974703
44-81,11-26,17-17,9,35,44,3,17,11,1,0,116,100.0,42.3,42.3,Cavaliers,0,2017-10-20,400974443
38-82,11-35,10-12,8,22,30,2,14,17,1,1,97,83.3,31.4,31.4,Bucks,1,2017-10-20,400974443
34-81,11-28,31-35,13,29,42,6,16,22,0,0,110,88.6,39.3,39.3,Trail Blazers,0,2017-10-21,400974785
42-80,7-18,22-30,7,28,35,8,14,23,0,0,113,73.3,38.9,38.9,Bucks,1,2017-10-21,400974785
33-78,7-26,21-36,10,38,48,5,14,21,0,0,94,58.3,26.9,26.9,Hornets,0,2017-10-23,400974795
40-85,9-26,14-16,5,37,42,4,13,27,0,0,103,87.5,34.6,34.6,Bucks,1,2017-10-23,400974795
33-78,11-30,19-22,6,39,45,4,15,14,1,0,96,86.4,36.7,36.7,Celtics,0,2017-10-26,400974818
35-77,11-25,8-14,2,35,37,3,16,20,1,1,89,57.1,44.0,44.0,Bucks,1,2017-10-26,400974818
44-81,13-26,16-21,5,38,43,3,14,27,0,0,117,76.2,50.0,50.0,Bucks,0,2017-10-29,400974836
