team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Nets,99,0.4512,0.3103,0.5517,5,33,20,7,8,11,2018-01-27
Bucks,109,0.5185,0.4211,0.8947,14,40,19,3,7,13,2018-01-30
Nets,94,0.4111,0.3103,0.3793,11,25,25,5,1,9,2018-01-30
Rockets,123,0.5556,0.4848,0.5152,8,32,16,7,7,11,2018-01-31
Nets,113,0.4824,0.4571,0.4286,10,27,24,8,2,11,2018-01-31
Nets,106,0.4333,0.3333,0.2157,8,42,33,4,6,19,2018-02-02
Pistons,115,0.4783,0.375,0.75,8,38,20,10,3,7,2018-02-02
Pelicans,138,0.4906,0.375,1.0417,14,45,23,10,10,15,2018-02-04
Nets,128,0.3772,0.3559,0.3559,18,42,30,10,3,15,2018-02-04
Clippers,114,0.5647,0.375,0.75,8,35,19,8,6,15,2018-02-06
Nets,101,0.4607,0.3,0.175,10,27,27,10,6,12,2018-02-06
Pacers,108,0.4333,0.4,1.6,15,37,20,10,7,8,2018-02-07
Nets,103,0.4217,0.3714,0.5714,9,35,24,4,2,13,2018-02-07
Nets,96,0.3871,0.3256,0.2326,11,30,27,6,8,9,2018-02-10
Hornets,111,0.4828,0.5238,0.7619,13,41,29,3,6,14,2018-02-10
Bulls,87,0.3548,0.2609,0.6522,15,41,17,8,7,13,2018-02-12
Nets,104,0.4444,0.381,0.1905,7,41,31,4,9,15,2018-02-12
Nets,123,0.5366,0.375,0.7188,3,33,29,6,0,12,2018-02-14
Cavaliers,129,0.5155,0.5,0.7083,14,41,24,7,1,11,2018-02-14
Nets,111,0.4167,0.3696,0.3043,16,35,27,10,4,21,2018-02-22
Kings,116,0.5155,0.4286,0.7143,11,33,23,15,6,15,2018-02-22
Nets,120,0.4348,0.4222,0.4667,13,31,30,8,4,14,2018-02-26
Clippers,123,0.5238,0.3704,0.9259,7,33,18,12,6,10,2018-02-26
Nets,101,0.4235,0.2647,0.5882,10,28,24,7,1,12,2018-02-27
Warriors,114,0.5663,0.4783,0.3913,5,36,30,8,7,17,2018-02-27
Nets,125,0.5109,0.3438,0.625,9,34,30,7,7,10,2018-03-01
Hornets,111,0.4824,0.2105,1.3158,6,30,19,5,5,13,2018-03-01
76ers,120,0.5263,0.3462,0.4231,12,36,33,12,7,9,2018-03-04
Nets,97,0.3882,0.3571,0.75,13,29,17,5,5,18,2018-03-04
Raptors,116,0.4835,0.3548,0.5484,13,40,27,7,6,11,2018-03-06
