home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Pelicans,Jazz,111,0.4211,0.2647,0.6471,11,29,22,4,5,16,132,0.5227,0.3125,0.9375,6,37,32,7,7,13,0,2018-10-27
Heat,Trail Blazers,120,0.4583,0.3846,0.4359,16,40,21,7,8,12,111,0.4205,0.3636,0.7576,8,34,14,7,8,9,1,2018-10-27
Bucks,Magic,113,0.5,0.3333,0.7,6,51,24,6,7,21,91,0.3267,0.2326,0.3488,11,30,21,9,6,11,1,2018-10-27
Mavericks,Jazz,104,0.4176,0.3214,0.6786,12,31,24,6,3,13,113,0.525,0.4,0.76,8,35,25,8,6,18,0,2018-10-28
Clippers,Wizards,136,0.5437,0.5517,0.2759,14,43,35,7,9,14,104,0.3918,0.1852,0.8519,14,31,18,7,3,14,1,2018-10-28
Thunder,Suns,117,0.5059,0.2917,1.0,9,34,22,16,3,15,110,0.4419,0.2963,0.963,10,34,21,10,3,22,1,2018-10-28
Nets,Warriors,114,0.4828,0.4762,0.2381,5,32,28,5,3,15,120,0.4944,0.3333,0.6364,12,35,28,11,7,12,0,2018-10-28
Nuggets,Pelicans,116,0.4516,0.3143,0.6,9,32,28,14,5,13,111,0.5244,0.4583,0.5833,7,37,28,8,5,22,1,2018-10-29
Timberwolves,Lakers,124,0.4286,0.4828,0.8966,20,31,26,11,12,14,120,0.4712,0.3636,0.303,17,31,24,8,8,18,1,2018-10-29
Pacers,Trail Blazers,93,0.4111,0.3158,0.6842,7,28,19,8,5,8,103,0.4872,0.3846,0.6538,9,41,19,3,3,18,0,2018-10-29
Bulls,Warriors,124,0.4894,0.3143,0.6,12,32,25,6,3,9,149,0.5521,0.5333,0.4222,8,41,34,9,7,7,0,2018-10-29
Spurs,Mavericks,113,0.4615,0.45,1.0,5,36,27,17,2,17,108,0.4725,0.2941,0.3529,8,41,15,9,3,22,1,2018-10-29
Bucks,Raptors,124,0.4891,0.4222,0.3333,8,49,28,5,4,17,109,0.3786,0.2,0.4889,15,36,25,9,7,10,1,2018-10-29
76ers,Hawks,113,0.4141,0.2979,0.3617,16,48,33,7,9,19,92,0.3723,0.2162,0.3784,10,37,20,10,3,13,1,2018-10-29
Knicks,Nets,115,0.4891,0.375,0.6667,16,37,21,5,3,13,96,0.4048,0.2895,0.4474,11,21,22,6,7,10,1,2018-10-29
Heat,Kings,113,0.413,0.3333,0.6154,13,39,20,10,9,18,123,0.4948,0.4615,0.5769,9,37,28,8,8,12,0,2018-10-29
Cavaliers,Hawks,136,0.5,0.52,1.32,13,35,23,13,1,13,114,0.5366,0.4286,0.3143,6,33,25,6,8,22,1,2018-10-30
Grizzlies,Wizards,107,0.4865,0.4643,0.7857,6,32,28,16,3,15,95,0.4324,0.4,0.4857,5,32,24,9,7,20,1,2018-10-30
Hornets,Heat,125,0.5432,0.4643,0.8571,8,31,27,7,5,14,113,0.4713,0.3929,0.7143,10,24,25,9,5,15,1,2018-10-30
Celtics,Pistons,108,0.4405,0.2903,0.8065,8,38,25,8,4,14,105,0.4205,0.2667,0.7667,11,39,17,6,3,17,1,2018-10-30
Thunder,Clippers,128,0.5106,0.5294,1.3529,9,32,19,16,6,15,110,0.473,0.35,1.65,6,32,18,6,7,24,1,2018-10-30
Rockets,Trail Blazers,85,0.3229,0.2326,0.3023,20,29,18,7,9,11,104,0.475,0.4,1.0,7,44,17,4,4,17,0,2018-10-30
Raptors,76ers,129,0.5109,0.4074,0.8889,9,34,29,13,6,15,112,0.4176,0.35,0.55,17,30,25,7,5,23,1,2018-10-30
Magic,Kings,99,0.3956,0.2558,0.3721,11,37,28,10,8,16,107,0.4881,0.3636,0.7727,8,43,22,8,6,15,0,2018-10-30
Warriors,Pelicans,131,0.5281,0.5,0.6562,12,34,39,10,4,17,121,0.4783,0.3429,0.6,12,30,24,8,2,15,1,2018-10-31
Nets,Pistons,120,0.4257,0.3158,0.5789,18,37,26,5,3,16,119,0.4194,0.3235,0.8824,14,41,16,8,6,16,1,2018-10-31
Suns,Spurs,90,0.3889,0.25,0.5833,7,28,21,10,3,15,120,0.5542,0.2222,1.3333,6,41,24,7,6,14,0,2018-10-31
Timberwolves,Jazz,128,0.5814,0.48,0.64,7,34,19,10,8,15,125,0.4845,0.4333,0.6,20,28,25,9,5,14,1,2018-10-31
Knicks,Pacers,101,0.4304,0.48,0.84,9,26,18,6,6,17,107,0.5422,0.3,0.55,10,31,24,10,10,15,0,2018-10-31
Lakers,Mavericks,114,0.5119,0.5882,1.0588,8,31,23,12,6,20,113,0.5,0.4483,0.4828,10,30,24,5,5,23,1,2018-10-31
Bulls,Nuggets,107,0.4239,0.4706,0.3824,10,33,27,7,6,13,108,0.4545,0.2692,0.4231,17,39,24,7,9,16,0,2018-10-31
Cavaliers,Nuggets,91,0.4096,0.2778,1.0,13,22,18,11,4,13,110,0.4824,0.3846,0.6923,14,30,22,8,7,12,0,2018-11-01
Hornets,Thunder,107,0.4086,0.2683,0.4878,11,40,26,7,3,17,111,0.4271,0.2162,0.5676,14,35,20,12,9,10,0,2018-11-01
