home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Bulls,Raptors,115,0.4624,0.3939,0.4848,9,34,29,5,2,13,124,0.4891,0.3947,0.5,7,42,23,9,5,11,0,2017-10-27
Warriors,Thunder,105,0.4868,0.2857,0.8214,10,35,27,7,8,25,125,0.4731,0.3871,0.8065,10,30,17,14,3,12,0,2017-10-27
Heat,Celtics,90,0.4304,0.2258,0.4839,6,34,17,6,9,19,96,0.4198,0.2609,0.9565,11,30,15,11,5,12,0,2017-10-28
Spurs,Suns,112,0.5,0.5,0.5909,8,35,21,9,4,9,95,0.4568,0.3478,0.5652,11,34,23,5,4,18,1,2017-10-28
Thunder,Clippers,121,0.4894,0.3438,0.5625,17,29,30,17,10,14,113,0.4884,0.4231,0.6923,16,32,21,10,3,21,1,2017-10-28
Timberwolves,Rockets,108,0.4762,0.2609,0.9565,9,31,22,3,4,8,126,0.494,0.4681,0.4681,9,28,25,1,4,6,0,2017-10-28
Heat,Bucks,91,0.3636,0.3846,0.6538,13,38,16,7,7,16,85,0.4211,0.3,0.75,2,35,18,9,9,17,1,2017-10-28
Pistons,Heat,111,0.5238,0.3462,0.5385,13,36,23,7,5,17,107,0.4835,0.3889,0.1389,7,26,30,13,4,11,1,2017-10-28
Grizzlies,Kings,106,0.4432,0.2941,0.5294,14,35,24,12,5,13,88,0.4,0.4074,0.4815,11,33,18,10,3,21,1,2017-10-28
76ers,Cavaliers,91,0.375,0.1071,0.5714,22,31,15,6,2,12,113,0.4767,0.4054,0.4324,11,35,25,7,3,11,0,2017-10-28
Warriors,Mavericks,121,0.5114,0.4828,0.5862,18,33,37,6,7,16,103,0.4348,0.2432,0.3784,9,25,19,15,7,10,1,2017-10-29
Rockets,Timberwolves,120,0.4819,0.3684,0.6842,14,36,24,6,2,10,102,0.4255,0.3846,0.4615,16,27,19,6,3,10,1,2017-10-29
Magic,Knicks,112,0.5375,0.4643,0.4643,6,23,31,16,7,12,99,0.525,0.4167,0.8333,12,30,26,7,2,23,1,2017-10-29
