pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome
117.125,0.45925,0.353375,0.5703750000000001,11.5,33.625,22.75,8.875,8.375,11.125,101.16428571428571,0.4536714285714286,0.3718071428571429,0.5179642857142857,9.478571428571428,34.92142857142858,21.121428571428574,6.821428571428571,5.214285714285714,15.757142857142856,0
102.125,0.4417916666666667,0.3580416666666666,0.6297083333333333,10.166666666666668,36.20833333333333,21.666666666666664,9.625,4.75,13.166666666666668,102.1,0.4537833333333333,0.3914,0.6281333333333333,9.966666666666667,30.53333333333333,21.05,9.716666666666667,3.3166666666666664,13.516666666666666,1
111.42857142857143,0.4692142857142857,0.2532857142857142,0.7708571428571429,11.071428571428573,41.285714285714285,25.214285714285715,7.571428571428571,10.071428571428571,15.428571428571427,112.5,0.4981,0.3694,0.4713,8.7,37.3,25.0,9.7,4.2,12.8,1
108.5,0.4751,0.33465,0.60955,8.7,34.55,23.25,8.7,3.7,14.05,110.6,0.4445,0.4119,0.7427,11.6,38.1,22.9,8.1,6.3,13.7,1
102.66666666666666,0.489,0.3028333333333333,0.8191666666666668,10.75,32.75,23.833333333333336,7.0,3.6666666666666665,16.0,103.5,0.454125,0.31475,0.6768749999999999,9.625,36.0,20.125,5.5,5.25,15.875,0
105.925,0.438725,0.34575,0.772925,11.15,34.625,18.7,6.775,4.9,15.075,105.77142857142857,0.4527428571428572,0.3585142857142857,0.6550857142857143,8.928571428571429,31.47142857142857,23.15714285714286,9.1,4.471428571428572,12.971428571428573,0
115.05,0.51735,0.397525,0.527225,10.65,33.825,30.6,7.375,7.325,17.8,107.0,0.4417,0.3335,0.7918999999999999,11.4,34.2,18.3,6.9,4.9,15.0,1
100.54761904761904,0.4586785714285714,0.3401666666666667,0.7912619047619048,8.321428571428571,31.607142857142854,21.48809523809524,7.1309523809523805,4.666666666666666,13.666666666666668,108.33333333333334,0.4668333333333333,0.3648333333333333,0.6701666666666667,10.0,32.66666666666667,24.333333333333336,7.5,4.5,14.333333333333332,0
104.7,0.4340166666666667,0.31425,0.7640166666666666,11.583333333333332,33.78333333333333,17.683333333333334,6.5,4.75,15.05,109.375,0.468,0.378125,0.901375,10.25,31.125,22.5,7.875,4.25,11.375,1
107.075,0.4569125000000001,0.3628625,0.68255,8.8125,31.9,23.4875,9.1,4.525,13.275,100.3875,0.4500375,0.358325,0.5105,10.175,35.4125,20.8,6.5,5.75,15.5875,0
101.55,0.445,0.3518,0.6081,7.35,33.75,20.45,11.9,5.5,14.6,115.58333333333334,0.4740000000000001,0.3753333333333333,0.5505,9.333333333333332,33.416666666666664,21.33333333333333,7.583333333333332,4.833333333333333,11.416666666666668,0
111.79166666666666,0.44633333333333336,0.34429166666666666,0.583875,10.583333333333332,33.125,21.333333333333336,8.625,8.458333333333332,10.041666666666668,102.95,0.4452,0.31275,0.6692499999999999,10.1,35.9,19.9,5.45,5.45,16.35,1
111.4375,0.4665,0.257625,0.783875,11.25,40.75,25.4375,7.5,10.0,15.5625,105.91666666666666,0.4415833333333333,0.3208333333333333,0.7619166666666667,11.333333333333332,34.416666666666664,18.083333333333336,6.25,5.166666666666666,15.25,0
107.625,0.4648125,0.37297916666666653,0.657,8.8125,31.5,24.1875,8.416666666666668,4.875,13.208333333333332,103.1,0.451125,0.3741,0.6582,10.6,32.575,21.7,8.45,5.575,11.85,1
101.92857142857143,0.4838928571428571,0.3002857142857143,0.8280714285714286,10.964285714285717,32.85714285714286,23.42857142857143,7.4642857142857135,3.5,16.25,98.8,0.4411666666666667,0.33046666666666663,0.5979333333333333,7.6,33.16666666666667,20.866666666666667,10.733333333333334,5.333333333333334,15.933333333333335,1
115.83333333333331,0.47100000000000003,0.3508333333333333,0.6418333333333334,14.5,34.0,23.166666666666664,12.0,5.333333333333334,13.833333333333332,103.0,0.4445,0.358625,0.613,10.875,36.25,22.375,9.5,4.5,13.5,0
101.28333333333332,0.4532666666666667,0.3655055555555555,0.5191944444444444,10.216666666666667,34.96111111111111,20.883333333333333,6.472222222222222,5.5,15.177777777777774,101.17142857142859,0.4544142857142857,0.3874714285714286,0.6173714285714286,9.728571428571428,29.7,21.228571428571428,9.728571428571428,3.4,13.67142857142857,0
109.25,0.4399166666666667,0.40375,0.7103333333333334,11.75,37.83333333333333,22.833333333333336,8.166666666666668,6.25,13.666666666666668,116.1,0.5232000000000001,0.3953,0.5267999999999999,10.1,34.599999999999994,30.8,7.5,8.2,17.1,1
113.41666666666666,0.461375,0.355375,0.5998749999999999,13.791666666666668,34.16666666666667,22.541666666666664,11.0,5.25,13.5,114.25,0.47020238095238104,0.3672738095238095,0.5519404761904761,9.476190476190476,33.35714285714286,20.952380952380953,8.154761904761905,4.666666666666666,11.678571428571427,0
109.58333333333331,0.47375,0.35625,0.6146666666666667,9.5,34.0,25.41666666666667,8.0,3.833333333333333,14.25,101.66666666666666,0.44866666666666666,0.3438333333333333,0.73125,10.916666666666668,38.83333333333333,24.25,7.833333333333332,7.166666666666666,15.0,0
107.91666666666666,0.4586666666666666,0.3530833333333333,0.6145,10.416666666666668,39.33333333333333,27.5,7.583333333333332,7.166666666666666,14.25,102.16666666666666,0.4379166666666667,0.30100000000000005,0.711,10.0,35.16666666666667,19.5,5.083333333333334,5.333333333333334,15.75,1
102.14285714285714,0.4626428571428571,0.34,0.7868571428571429,8.571428571428571,31.5,21.785714285714285,7.357142857142858,4.6428571428571415,13.928571428571427,110.08333333333334,0.475375,0.35225,0.8332083333333334,10.333333333333332,33.5,21.125,6.458333333333334,3.625,12.75,0
114.625,0.45375,0.35175,0.546,11.5,34.75,22.625,8.0,7.875,10.0,101.6875,0.482375,0.30518749999999994,0.8547500000000001,11.0625,32.75,23.0625,7.25,3.5,16.0625,1
101.66666666666666,0.440625,0.3548333333333333,0.6841666666666666,11.166666666666668,32.875,21.333333333333336,8.416666666666668,5.958333333333334,12.25,115.125,0.472625,0.390625,0.5157499999999999,10.5,34.0,22.875,5.25,7.25,13.625,1
108.23214285714286,0.4724553571428571,0.3826339285714286,0.6313928571428571,8.598214285714285,32.0,24.044642857142854,8.428571428571429,4.9821428571428585,13.517857142857142,103.275,0.445675,0.37445,0.596525,10.975,36.375,22.775,9.275,4.25,13.1,0
103.15178571428572,0.4666160714285714,0.3375,0.7739910714285715,8.571428571428571,31.169642857142854,22.38392857142857,7.5892857142857135,4.625,14.0,108.82142857142857,0.46,0.3588928571428571,0.6030357142857143,10.428571428571429,39.35714285714286,27.67857142857143,7.678571428571429,6.928571428571429,13.892857142857142,0
113.725,0.4646,0.34792500000000004,0.540375,10.55,34.925,23.2,7.725,7.925,10.275,116.55,0.5206,0.3954,0.5246166666666666,10.033333333333333,34.56666666666666,30.53333333333333,7.5,8.166666666666666,16.96666666666667,0
120.5,0.494,0.3725,0.6675,9.0,31.5,26.5,9.0,5.5,13.0,112.03333333333332,0.4812,0.3709,0.8359333333333334,10.833333333333332,33.3,21.6,7.133333333333333,3.5,13.3,1
102.26666666666668,0.4437,0.3531333333333333,0.6949666666666667,10.766666666666666,33.0,22.43333333333333,8.266666666666666,5.783333333333332,12.6,100.6625,0.4572,0.3918375,0.6197375,9.425,29.95,20.925,9.3,3.525,13.6625,1
106.5595238095238,0.4458809523809524,0.33029761904761906,0.7537142857142857,11.464285714285715,34.04761904761905,18.5,6.5357142857142865,5.488095238095238,15.0,114.875,0.4734791666666667,0.37635416666666666,0.5719583333333333,9.458333333333332,33.25,21.291666666666664,8.333333333333332,4.854166666666666,12.1875,0
107.28571428571428,0.4453571428571429,0.3312857142857143,0.7368571428571429,11.928571428571427,33.92857142857143,19.285714285714285,6.7142857142857135,5.428571428571429,14.857142857142858,114.15,0.434775,0.34345000000000003,0.731675,10.95,34.0,21.5,8.5,4.0,15.375,0
108.0,0.4361666666666667,0.3353333333333333,0.9121666666666668,9.333333333333332,32.5,24.0,8.166666666666666,4.0,14.166666666666668,103.70833333333334,0.4472083333333333,0.3740833333333333,0.575875,10.875,37.04166666666667,23.291666666666664,9.458333333333332,4.0,13.083333333333332,0
111.73809523809523,0.4695,0.3488095238095238,0.5467857142857142,10.428571428571429,38.85714285714286,27.261904761904763,7.928571428571429,6.928571428571429,14.309523809523812,100.76666666666668,0.4570333333333333,0.4014555555555556,0.6008555555555555,9.244444444444444,29.86666666666667,20.911111111111108,9.077777777777778,3.4555555555555557,13.433333333333335,0
117.58571428571429,0.5260285714285715,0.3971857142857143,0.5597714285714286,9.628571428571428,34.114285714285714,30.628571428571423,7.2142857142857135,7.857142857142858,16.15714285714286,111.41666666666669,0.4875833333333334,0.37375,0.8087500000000001,10.25,32.833333333333336,21.75,6.916666666666668,3.416666666666667,13.25,1
109.4,0.464425,0.358525,0.953925,10.9,30.975,21.925,8.125,4.3,11.25,103.08333333333331,0.44825,0.36091666666666666,0.6773333333333333,11.0,33.16666666666667,23.333333333333336,7.916666666666668,5.333333333333334,12.166666666666668,1
100.74242424242424,0.45012121212121214,0.3658282828282828,0.5128080808080808,10.075757575757576,35.2020202020202,20.87878787878788,6.540404040404041,5.454545454545455,15.050505050505052,98.75,0.4411666666666667,0.3430833333333333,0.58575,7.583333333333332,32.833333333333336,20.58333333333333,10.25,5.666666666666668,15.75,1
101.75,0.43842857142857145,0.3028928571428572,0.7100357142857143,9.642857142857142,35.07142857142857,19.285714285714285,5.178571428571429,5.1071428571428585,15.964285714285715,112.75,0.4795,0.395,0.5805,9.0,30.25,25.5,7.5,3.75,11.75,0
109.3095238095238,0.4662142857142857,0.3502142857142857,0.6214047619047618,9.761904761904765,34.3095238095238,24.904761904761905,7.833333333333332,3.738095238095238,14.214285714285715,105.25,0.4346666666666667,0.3740833333333333,0.7901666666666667,9.583333333333332,32.5,23.25,7.666666666666666,4.25,14.416666666666668,1
100.02083333333334,0.4582916666666666,0.3286875,0.7829166666666667,11.479166666666668,32.416666666666664,22.0625,7.166666666666666,3.833333333333333,14.479166666666668,112.61904761904762,0.4883571428571428,0.3728571428571429,0.8243333333333334,10.047619047619047,32.57142857142857,22.42857142857143,7.1190476190476195,3.2857142857142856,13.214285714285715,1
