fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,id,team,home,date
41-90,10-36,15-18,7,38,45,19,7,3,24,30,107,401070697,Hawks,0,2018-10-17
45-99,12-33,24-31,10,36,46,21,12,6,15,23,126,401070697,Knicks,1,2018-10-17
41-83,14-30,21-36,11,29,40,27,9,5,19,31,117,401070705,Hawks,0,2018-10-19
44-81,13-26,30-43,7,34,41,32,9,4,16,29,131,401070705,Grizzlies,1,2018-10-19
48-98,22-47,15-19,9,35,44,32,9,7,12,21,133,401070718,Hawks,0,2018-10-21
46-99,10-27,9-14,15,34,49,23,5,2,18,25,111,401070718,Cavaliers,1,2018-10-21
38-91,12-40,16-26,9,43,52,25,7,9,17,27,104,401070733,Mavericks,0,2018-10-24
37-91,15-38,22-31,10,44,54,28,6,6,15,26,111,401070733,Hawks,1,2018-10-24
36-83,12-33,13-16,8,44,52,25,14,6,20,21,97,401070757,Bulls,0,2018-10-27
27-84,12-40,19-23,11,37,48,20,9,8,22,13,85,401070757,Hawks,1,2018-10-27
35-94,8-37,14-21,10,37,47,20,10,3,13,18,92,401070769,Hawks,0,2018-10-29
41-99,14-47,17-18,16,48,64,33,7,9,19,22,113,401070769,76ers,1,2018-10-29
44-82,15-35,11-17,6,33,39,25,6,8,22,29,114,401070778,Hawks,0,2018-10-30
45-90,13-25,33-43,13,35,48,23,13,1,13,20,136,401070778,Cavaliers,1,2018-10-30
53-98,14-35,26-32,10,36,46,38,14,3,14,29,146,401070795,Kings,0,2018-11-01
42-87,8-31,23-34,10,33,43,26,6,6,22,28,115,401070795,Hawks,1,2018-11-01
41-85,16-40,20-26,13,28,41,27,6,6,17,20,118,401070809,Heat,0,2018-11-03
46-88,13-32,18-23,8,29,37,33,11,7,16,21,123,401070809,Hawks,1,2018-11-03
41-85,6-30,14-18,7,30,37,22,13,9,22,18,102,401070830,Hawks,0,2018-11-06
45-92,13-31,10-18,8,35,43,27,9,4,21,16,113,401070830,Hornets,1,2018-11-06
34-77,11-30,33-47,11,37,48,15,8,7,16,30,112,401070836,Knicks,0,2018-11-07
37-92,11-38,22-29,15,30,45,26,5,9,17,30,107,401070836,Hawks,1,2018-11-07
46-97,20-47,12-19,10,34,44,30,10,6,10,31,124,401070850,Pistons,0,2018-11-09
36-79,7-28,30-40,9,44,53,17,6,2,16,21,109,401070850,Hawks,1,2018-11-09
41-95,13-37,11-13,10,34,44,25,11,4,17,23,106,401070870,Hawks,0,2018-11-11
39-92,14-38,15-24,17,31,48,28,12,9,22,23,107,401070870,Lakers,1,2018-11-11
40-89,12-32,11-15,10,32,42,25,9,2,14,18,103,401070882,Hawks,0,2018-11-13
39-91,12-27,20-21,13,35,48,28,8,6,13,20,110,401070882,Warriors,1,2018-11-13
32-92,9-42,20-27,15,28,43,20,7,5,19,22,93,401070895,Hawks,0,2018-11-15
53-94,13-31,19-25,11,45,56,34,12,6,15,24,138,401070895,Nuggets,1,2018-11-15
31-87,8-29,19-27,5,36,41,20,15,6,18,24,89,401070907,Hawks,0,2018-11-17
35-87,12-30,15-21,10,43,53,25,11,6,22,26,97,401070907,Pacers,1,2018-11-17
40-93,10-33,37-47,15,37,52,24,9,8,15,22,127,401070924,Clippers,0,2018-11-19
45-101,12-38,17-19,16,35,51,29,6,6,14,38,119,401070924,Hawks,1,2018-11-19
48-90,11-29,17-23,14,41,55,33,6,1,17,21,124,401070935,Raptors,0,2018-11-21
42-93,10-36,14-18,9,25,34,24,10,7,9,21,108,401070935,Hawks,1,2018-11-21
42-91,13-40,17-21,7,36,43,31,11,7,16,29,114,401070949,Celtics,0,2018-11-23
35-81,6-35,20-29,5,35,40,22,9,7,20,26,96,401070949,Hawks,1,2018-11-23
41-92,18-45,23-28,10,32,42,30,8,4,10,15,123,401070969,Hornets,0,2018-11-25
50-94,16-39,8-11,9,32,41,34,5,9,15,23,124,401070969,Hawks,1,2018-11-25
38-80,12-31,27-32,10,36,46,22,13,7,24,24,115,401070983,Hawks,0,2018-11-27
40-87,13-38,20-30,11,32,43,22,20,3,20,25,113,401070983,Heat,1,2018-11-27
32-93,11-44,19-22,16,38,54,20,11,8,19,25,94,401070987,Hawks,0,2018-11-28
38-83,4-20,28-37,5,39,44,20,15,5,14,21,108,401070987,Hornets,1,2018-11-28
43-96,11-36,12-20,14,28,42,26,15,3,21,12,109,401071006,Hawks,0,2018-11-30
46-88,18-41,14-15,7,39,46,30,12,7,20,24,124,401071006,Thunder,1,2018-11-30
48-82,13-24,19-22,6,33,39,33,10,8,20,24,128,401071025,Warriors,0,2018-12-03
44-90,5-26,18-24,9,26,35,23,10,4,18,21,111,401071025,Hawks,1,2018-12-03
46-95,12-38,27-32,12,37,49,35,9,4,15,24,131,401071038,Wizards,0,2018-12-05
41-92,12-38,23-31,8,35,43,28,13,4,17,27,117,401071038,Hawks,1,2018-12-05
36-97,9-36,17-21,11,37,48,28,11,4,15,16,98,401071061,Nuggets,0,2018-12-08
40-93,15-42,11-16,9,42,51,33,9,11,18,23,106,401071061,Hawks,1,2018-12-08
43-93,11-33,10-14,16,28,44,21,7,2,21,30,107,401071093,Hawks,0,2018-12-12
35-75,12-34,32-43,4,32,36,22,13,5,14,16,114,401071093,Mavericks,1,2018-12-12
36-86,16-38,20-32,16,28,44,27,10,5,24,19,108,401071101,Hawks,0,2018-12-14
46-95,19-39,18-20,13,34,47,28,15,9,21,21,129,401071101,Celtics,1,2018-12-14
47-85,14-29,19-25,8,25,33,38,9,5,14,22,127,401071117,Hawks,0,2018-12-16
49-88,16-40,30-33,10,29,39,34,12,3,13,21,144,401071117,Nets,1,2018-12-16
36-83,13-40,25-36,9,28,37,26,14,1,15,32,110,401071133,Wizards,0,2018-12-18
37-79,12-32,32-39,13,36,49,23,4,5,23,29,118,401071133,Hawks,1,2018-12-18
43-91,10-29,18-24,15,39,54,29,4,1,16,18,114,401071153,Hawks,0,2018-12-21
41-84,8-27,17-24,4,31,35,20,8,3,12,22,107,401071153,Knicks,1,2018-12-21
36-91,6-23,20-25,15,39,54,24,9,9,16,25,98,401071167,Hawks,0,2018-12-23
34-83,10-29,17-27,5,36,41,21,6,9,16,25,95,401071167,Pistons,1,2018-12-23
46-83,13-27,24-33,10,29,39,35,13,3,16,17,129,401071180,Pacers,0,2018-12-26
45-89,17-36,14-18,11,30,41,33,8,6,19,24,121,401071180,Hawks,1,2018-12-26
47-100,16-35,13-20,17,41,58,32,10,6,23,33,123,401071198,Hawks,0,2018-12-28
44-98,11-32,21-38,16,31,47,28,14,9,14,26,120,401071198,Timberwolves,1,2018-12-28
40-85,5-23,23-29,10,34,44,27,9,2,12,23,108,401071206,Cavaliers,0,2018-12-29
43-98,10-37,15-25,17,36,53,27,7,4,13,25,111,401071206,Hawks,1,2018-12-29
41-95,13-32,13-19,21,32,53,24,8,5,17,23,108,401071218,Hawks,0,2018-12-31
42-84,11-24,21-29,8,31,39,29,13,6,11,18,116,401071218,Pacers,1,2018-12-31
40-95,10-31,8-13,13,37,50,26,5,6,14,19,98,401071232,Hawks,0,2019-01-02
43-92,11-29,17-23,10,38,48,29,10,2,10,20,114,401071232,Wizards,1,2019-01-02
37-85,14-41,24-35,5,26,31,26,11,3,21,23,112,401071248,Hawks,0,2019-01-04
55-100,14-40,20-28,12,42,54,36,11,8,14,26,144,401071248,Bucks,1,2019-01-04
31-87,5-34,15-27,12,29,41,23,11,7,13,17,82,401071263,Heat,0,2019-01-06
43-91,10-24,10-13,14,45,59,25,7,2,17,22,106,401071263,Hawks,1,2019-01-06
40-87,10-27,11-16,13,37,50,22,12,2,26,22,101,401071278,Hawks,0,2019-01-08
37-80,10-32,20-27,6,33,39,26,18,7,18,20,104,401071278,Raptors,1,2019-01-08
36-99,6-35,22-25,18,34,52,17,8,6,19,24,100,401071285,Hawks,0,2019-01-09
43-95,10-30,20-26,18,36,54,21,10,9,18,28,116,401071285,Nets,1,2019-01-09
40-82,5-27,15-22,5,34,39,28,9,5,17,23,100,401070694,Nets,0,2018-10-17
39-92,6-24,19-22,14,32,46,21,5,5,14,20,103,401070694,Pistons,1,2018-10-17
39-97,9-28,18-20,12,24,36,14,10,1,3,19,105,401070704,Knicks,0,2018-10-19
37-75,12-30,21-24,12,43,55,22,2,6,22,23,107,401070704,Nets,1,2018-10-19
41-86,16-37,14-22,9,31,40,25,6,6,20,18,112,401070710,Nets,0,2018-10-20
51-92,16-24,14-22,10,30,40,21,12,5,10,18,132,401070710,Pacers,1,2018-10-20
38-87,14-34,12-15,8,36,44,23,8,1,14,16,102,401070734,Nets,0,2018-10-24
34-89,3-18,15-16,16,37,53,18,5,2,15,19,86,401070734,Cavaliers,1,2018-10-24
43-98,19-40,10-15,16,38,54,26,6,8,18,22,115,401070753,Nets,0,2018-10-26
44-98,9-23,20-26,15,31,46,23,11,11,11,20,117,401070753,Pelicans,1,2018-10-26
44-89,11-33,21-24,12,35,47,28,11,7,12,16,120,401070764,Warriors,0,2018-10-28
42-87,20-42,10-15,5,32,37,28,5,3,15,20,114,401070764,Nets,1,2018-10-28
34-84,11-38,17-22,11,21,32,22,6,7,10,20,96,401070771,Nets,0,2018-10-29
45-92,9-24,16-18,16,37,53,21,5,3,13,21,115,401070771,Knicks,1,2018-10-29
39-93,11-34,30-39,14,41,55,16,8,6,16,30,119,401070785,Pistons,0,2018-10-31
43-101,12-38,22-30,18,37,55,26,5,3,16,33,120,401070785,Nets,1,2018-10-31
41-83,15-39,22-32,11,30,41,22,4,10,9,21,119,401070799,Rockets,0,2018-11-02
42-85,15-34,12-20,9,29,38,22,5,4,10,28,111,401070799,Nets,1,2018-11-02
31-65,4-20,31-41,9,37,46,16,6,1,27,21,97,401070815,76ers,0,2018-11-04
50-105,9-28,13-18,15,23,38,27,11,3,9,28,122,401070815,Nets,1,2018-11-04
41-92,9-36,13-19,13,39,52,22,9,5,10,22,104,401070832,Nets,0,2018-11-06
28-81,9-25,17-20,9,40,49,16,4,3,20,20,82,401070832,Suns,1,2018-11-06
36-88,12-33,28-42,12,30,42,21,7,9,8,24,112,401070852,Nets,0,2018-11-09
40-87,5-18,25-34,15,39,54,20,3,5,12,28,110,401070852,Nuggets,1,2018-11-09
36-77,7-24,21-29,12,29,41,20,7,2,14,22,100,401070862,Nets,0,2018-11-10
46-83,7-16,17-21,6,30,36,27,9,7,10,24,116,401070862,Warriors,1,2018-11-10
40-101,18-50,15-22,19,23,42,28,10,2,13,29,113,401070876,Nets,0,2018-11-12
42-80,10-23,26-31,9,43,52,26,8,6,23,17,120,401070876,Timberwolves,1,2018-11-12
46-85,8-29,20-28,6,41,47,23,6,6,17,27,120,401070886,Heat,0,2018-11-14
41-101,8-28,17-24,16,30,46,17,10,2,15,29,107,401070886,Nets,1,2018-11-14
38-90,9-33,30-38,13,34,47,19,8,3,11,24,115,401070900,Nets,0,2018-11-16
37-87,3-18,27-34,12,35,47,18,5,4,13,23,104,401070900,Wizards,1,2018-11-16
48-95,11-23,20-24,9,29,38,23,4,1,8,25,127,401070905,Clippers,0,2018-11-17
40-88,13-28,26-34,15,32,47,25,4,5,11,22,119,401070905,Nets,1,2018-11-17
38-88,8-31,20-26,13,40,53,17,6,4,11,21,104,401070931,Nets,0,2018-11-20
36-100,7-32,13-20,18,34,52,18,5,6,14,24,92,401070931,Heat,1,2018-11-20
42-94,14-42,15-21,16,26,42,23,8,2,14,31,113,401070942,Nets,0,2018-11-21
38-78,11-27,32-41,8,37,45,21,10,3,13,20,119,401070942,Mavericks,1,2018-11-21
44-92,9-25,15-17,9,29,38,25,15,4,7,20,112,401070946,Timberwolves,0,2018-11-23
33-79,14-45,22-26,9,37,46,26,2,4,18,22,102,401070946,Nets,1,2018-11-23
44-91,12-29,27-33,13,29,42,28,9,6,9,22,127,401070970,76ers,0,2018-11-25
50-88,10-25,15-20,10,33,43,19,2,4,16,25,125,401070970,Nets,1,2018-11-25
39-82,9-28,14-21,8,40,48,17,10,6,19,25,101,401070989,Jazz,0,2018-11-28
30-86,11-30,20-28,14,34,48,11,12,5,20,20,91,401070989,Nets,1,2018-11-28
50-101,12-30,19-22,11,34,45,27,8,6,17,23,131,401071004,Grizzlies,0,2018-11-30
42-94,16-44,25-30,11,40,51,26,7,4,16,28,125,401071004,Nets,1,2018-11-30
30-81,8-33,20-25,11,31,42,19,8,2,17,17,88,401071013,Nets,0,2018-12-01
41-79,8-26,12-18,2,36,38,19,8,3,13,21,102,401071013,Wizards,1,2018-12-01
38-88,4-15,19-20,14,41,55,15,5,4,9,17,99,401071026,Cavaliers,0,2018-12-03
39-99,10-40,9-16,17,33,50,17,5,2,7,20,97,401071026,Nets,1,2018-12-03
43-99,13-38,15-26,17,43,60,28,8,6,13,23,114,401071039,Thunder,0,2018-12-05
37-86,15-36,23-30,10,35,45,21,7,4,14,24,112,401071039,Nets,1,2018-12-05
35-89,11-35,24-29,6,35,41,25,9,7,15,19,105,401071052,Raptors,0,2018-12-07
43-98,11-35,9-13,16,44,60,22,8,2,20,28,106,401071052,Nets,1,2018-12-07
43-88,11-22,15-25,12,33,45,27,5,5,12,25,112,401071063,Nets,0,2018-12-08
39-83,8-26,18-30,9,31,40,22,8,2,12,18,104,401071063,Knicks,1,2018-12-08
38-74,14-28,37-43,7,30,37,20,10,1,16,23,127,401071089,Nets,0,2018-12-12
50-91,12-28,12-16,10,27,37,31,11,3,17,30,124,401071089,76ers,1,2018-12-12
49-90,11-29,9-16,4,22,26,30,3,3,9,24,118,401071103,Wizards,0,2018-12-14
44-84,11-31,26-31,9,36,45,34,5,3,9,17,125,401071103,Nets,1,2018-12-14
42-90,13-40,13-23,8,40,48,21,6,4,14,19,110,401071134,Lakers,0,2018-12-18
44-91,14-34,13-19,4,36,40,27,5,4,11,18,115,401071134,Nets,1,2018-12-18
34-74,8-25,20-25,7,38,45,23,3,2,13,14,96,401071141,Nets,0,2018-12-19
40-91,6-19,7-10,9,30,39,21,7,5,8,22,93,401071141,Bulls,1,2018-12-19
44-82,11-26,15-18,6,23,29,24,10,8,11,26,114,401071152,Pacers,0,2018-12-21
33-72,16-31,24-34,11,30,41,28,5,3,20,23,106,401071152,Nets,1,2018-12-21
43-89,3-17,14-16,10,31,41,24,10,5,12,27,103,401071170,Suns,0,2018-12-23
40-85,10-27,21-33,14,35,49,25,7,4,17,15,111,401071170,Nets,1,2018-12-23
47-106,15-31,23-30,12,41,53,26,8,3,13,20,132,401071181,Hornets,0,2018-12-26
51-104,19-47,13-18,10,47,57,31,8,7,17,26,134,401071181,Nets,1,2018-12-26
33-83,4-27,17-20,9,39,48,15,4,10,14,20,87,401071193,Nets,0,2018-12-28
41-100,11-33,7-10,12,37,49,19,4,8,8,22,100,401071193,Hornets,1,2018-12-28
38-79,15-35,24-35,5,35,40,28,6,3,14,17,115,401071203,Nets,0,2018-12-29
47-96,21-51,14-16,5,34,39,30,6,5,10,22,129,401071203,Bucks,1,2018-12-29
46-87,10-23,19-27,10,31,41,19,7,5,12,20,121,401071233,Pelicans,0,2019-01-02
47-93,16-31,16-21,12,31,43,27,7,5,10,23,126,401071233,Nets,1,2019-01-02
36-79,13-34,24-26,8,37,45,25,6,2,20,19,109,401071246,Nets,0,2019-01-04
42-93,5-24,11-15,8,32,40,23,9,5,13,24,100,401071246,Grizzlies,1,2019-01-04
42-83,16-46,17-22,6,32,38,29,6,3,9,16,117,401071260,Nets,0,2019-01-06
41-88,7-18,11-15,11,33,44,20,6,4,12,15,100,401071260,Bulls,1,2019-01-06
32-79,11-42,20-22,9,38,47,19,5,4,23,16,95,401071268,Nets,0,2019-01-07
47-93,12-32,10-12,6,37,43,37,13,2,13,21,116,401071268,Celtics,1,2019-01-07
34-87,5-26,14-23,6,41,47,18,8,5,16,20,87,401070213,76ers,0,2018-10-16
42-97,11-37,10-14,12,43,55,21,7,5,14,20,105,401070213,Celtics,1,2018-10-16
40-99,14-36,7-10,16,33,49,29,4,6,14,27,101,401070219,Celtics,0,2018-10-19
43-92,13-35,14-19,12,37,49,24,3,3,12,19,113,401070219,Raptors,1,2018-10-19
33-82,9-25,28-33,11,36,47,21,8,2,15,26,103,401070711,Celtics,0,2018-10-20
36-87,12-35,17-27,11,35,46,23,8,1,16,25,101,401070711,Knicks,1,2018-10-20
38-93,10-35,7-10,8,41,49,28,6,2,9,15,93,401070721,Magic,0,2018-10-22
37-91,9-40,7-9,9,42,51,21,6,3,12,15,90,401070721,Celtics,1,2018-10-22
33-86,11-32,24-33,10,35,45,19,7,1,11,27,101,401070746,Celtics,0,2018-10-25
37-94,7-28,14-25,16,41,57,19,5,6,16,27,95,401070746,Thunder,1,2018-10-25
39-86,14-34,17-25,8,46,54,25,4,8,13,26,109,401070755,Celtics,0,2018-10-27
33-89,7-37,16-20,6,41,47,16,4,3,11,24,89,401070755,Pistons,1,2018-10-27
37-88,8-30,23-27,11,39,50,17,6,3,17,28,105,401070780,Pistons,0,2018-10-30
37-84,9-31,25-32,8,38,46,25,8,4,14,20,108,401070780,Celtics,1,2018-10-30
41-85,9-29,22-30,8,37,45,20,8,3,14,20,113,401070796,Bucks,0,2018-11-01
41-92,24-55,11-13,8,34,42,30,5,8,12,23,117,401070796,Celtics,1,2018-11-01
38-88,19-46,6-9,10,35,45,23,6,8,14,20,101,401070808,Celtics,0,2018-11-03
36-86,11-32,19-25,8,37,45,23,10,2,13,16,102,401070808,Pacers,1,2018-11-03
44-87,9-31,10-12,7,33,40,22,9,9,12,21,107,401070826,Celtics,0,2018-11-05
41-90,13-34,20-28,15,32,47,25,5,4,13,14,115,401070826,Nuggets,1,2018-11-05
39-97,14-37,24-31,17,39,56,21,6,6,16,18,116,401070845,Celtics,0,2018-11-08
41-93,11-35,16-19,4,38,42,25,10,6,15,23,109,401070845,Suns,1,2018-11-08
39-88,17-43,20-22,5,23,28,31,11,3,8,20,115,401070853,Celtics,0,2018-11-09
43-77,13-34,24-30,8,37,45,29,4,4,16,21,123,401070853,Jazz,1,2018-11-09
36-93,14-42,8-10,11,31,42,19,11,5,12,16,94,401070869,Celtics,0,2018-11-11
39-86,14-36,8-10,15,40,55,22,4,2,21,14,100,401070869,Trail Blazers,1,2018-11-11
33-84,7-23,9-9,7,40,47,16,8,3,22,16,82,401070885,Bulls,0,2018-11-14
42-90,15-34,12-14,8,43,51,27,12,5,13,12,111,401070885,Celtics,1,2018-11-14
42-97,8-29,24-29,11,32,43,20,12,4,13,23,116,401070897,Raptors,0,2018-11-16
47-89,9-26,20-24,9,37,46,25,9,6,18,23,123,401070897,Celtics,1,2018-11-16
35-78,11-38,17-27,7,39,46,23,11,4,14,23,98,401070910,Jazz,0,2018-11-17
35-91,5-33,11-20,17,34,51,16,11,4,14,22,86,401070910,Celtics,1,2018-11-17
45-89,9-32,13-18,8,33,41,31,9,6,12,22,112,401070920,Celtics,0,2018-11-19
43-89,15-41,16-22,8,36,44,18,5,3,13,16,117,401070920,Hornets,1,2018-11-19
44-89,15-30,14-17,9,40,49,25,3,11,17,24,117,401070936,Knicks,0,2018-11-21
38-97,10-33,23-32,15,35,50,30,10,9,8,16,109,401070936,Celtics,1,2018-11-21
41-86,10-28,12-13,9,33,42,19,8,3,17,21,104,401070964,Celtics,0,2018-11-24
42-87,16-41,13-21,13,30,43,27,12,3,16,16,113,401070964,Mavericks,1,2018-11-24
48-97,19-39,9-10,14,28,42,27,14,4,13,25,124,401070979,Celtics,0,2018-11-26
34-77,12-32,27-29,9,31,40,21,8,5,22,20,107,401070979,Pelicans,1,2018-11-26
30-77,7-22,28-35,9,27,36,18,5,1,13,21,95,401071000,Cavaliers,0,2018-11-30
49-92,17-31,13-16,12,35,47,30,4,4,10,27,128,401071000,Celtics,1,2018-11-30
40-85,17-44,21-21,7,33,40,30,9,3,14,25,118,401071016,Celtics,0,2018-12-01
37-82,9-28,26-32,9,30,39,19,6,2,16,18,109,401071016,Timberwolves,1,2018-12-01
36-91,12-35,16-20,14,33,47,21,4,5,16,23,100,401071046,Knicks,0,2018-12-06
49-92,13-38,17-20,7,39,46,32,8,6,9,24,128,401071046,Celtics,1,2018-12-06
50-93,22-43,11-15,13,41,54,34,10,4,7,14,133,401071064,Celtics,0,2018-12-08
31-81,6-24,9-14,8,29,37,16,3,2,15,17,77,401071064,Bulls,1,2018-12-08
39-87,8-26,14-19,6,33,39,28,11,1,13,19,100,401071074,Pelicans,0,2018-12-10
44-90,12-39,13-19,14,37,51,23,8,5,13,21,113,401071074,Celtics,1,2018-12-10
47-104,11-38,25-25,14,36,50,20,6,2,13,19,130,401071090,Celtics,0,2018-12-12
46-91,12-33,21-29,8,33,41,25,7,4,15,27,125,401071090,Wizards,1,2018-12-12
39-94,9-33,17-23,12,32,44,19,11,4,14,25,104,401071112,Celtics,0,2018-12-15
39-80,10-30,25-35,10,38,48,25,10,7,18,21,113,401071112,Pistons,1,2018-12-15
41-96,11-27,18-22,21,35,56,23,8,6,17,19,111,401071139,Suns,0,2018-12-19
38-85,15-39,12-14,9,28,37,26,13,15,16,17,103,401071139,Celtics,1,2018-12-19
41-80,16-40,22-28,11,44,55,26,3,6,20,30,120,401071154,Bucks,0,2018-12-21
35-91,10-34,27-36,9,27,36,22,13,3,5,16,107,401071154,Celtics,1,2018-12-21
38-88,8-32,19-26,9,28,37,24,9,5,9,17,103,401071169,Hornets,0,2018-12-23
43-86,13-39,20-25,11,36,47,30,8,4,14,22,119,401071169,Celtics,1,2018-12-23
38-92,15-40,23-29,9,47,56,25,6,4,19,21,114,401070235,76ers,0,2018-12-25
45-108,14-41,17-20,13,42,55,21,8,4,9,21,121,401070235,Celtics,1,2018-12-25
38-81,12-31,25-31,6,31,37,28,9,3,11,22,113,401071188,Celtics,0,2018-12-27
41-86,18-45,27-35,16,39,55,17,4,4,13,22,127,401071188,Rockets,1,2018-12-27
40-80,16-36,16-18,7,29,36,29,10,4,17,24,112,401071207,Celtics,0,2018-12-29
36-76,7-26,24-29,8,28,36,24,11,2,16,22,103,401071207,Grizzlies,1,2018-12-29
43-88,11-34,14-20,9,31,40,30,5,8,12,17,111,401071221,Celtics,0,2018-12-31
45-91,14-26,16-18,8,35,43,27,6,4,11,17,120,401071221,Spurs,1,2018-12-31
40-84,7-23,15-21,8,26,34,24,7,2,14,16,102,401071234,Timberwolves,0,2019-01-02
45-76,12-30,13-15,3,30,33,34,10,9,16,21,115,401071234,Celtics,1,2019-01-02
34-88,11-44,14-19,11,38,49,16,9,2,14,13,93,401071242,Mavericks,0,2019-01-04
42-96,21-45,9-11,14,39,53,35,12,4,12,16,114,401071242,Celtics,1,2019-01-04
39-91,9-28,21-33,12,27,39,26,6,0,11,18,108,401071283,Pacers,0,2019-01-09
50-88,14-32,21-24,9,39,48,32,7,7,13,25,135,401071283,Celtics,1,2019-01-09
36-89,12-34,15-17,9,28,37,20,5,8,10,10,99,401071293,Celtics,0,2019-01-10
46-96,18-39,5-8,10,41,51,33,7,4,8,18,115,401071293,Heat,1,2019-01-10
42-85,14-34,15-20,11,46,57,26,5,4,21,25,113,401070693,Bucks,0,2018-10-17
41-92,16-38,14-22,9,32,41,21,8,9,11,19,112,401070693,Hornets,1,2018-10-17
43-92,17-38,17-20,12,43,55,32,6,4,15,17,120,401070703,Hornets,0,2018-10-19
36-94,6-31,10-14,12,32,44,18,8,7,15,16,88,401070703,Magic,1,2018-10-19
41-93,16-42,15-23,12,28,40,23,6,12,11,27,113,401070713,Hornets,0,2018-10-20
41-89,11-34,19-27,12,37,49,21,4,11,15,27,112,401070713,Heat,1,2018-10-20
41-97,9-28,15-18,14,27,41,21,5,5,12,14,106,401070722,Hornets,0,2018-10-22
50-87,15-39,12-14,5,41,46,36,10,8,13,21,127,401070722,Raptors,1,2018-10-22
37-85,10-35,26-29,8,28,36,23,5,5,6,20,110,401070737,Hornets,0,2018-10-24
37-77,10-29,28-35,9,36,45,21,4,5,14,24,112,401070737,Bulls,1,2018-10-24
37-85,16-36,16-22,8,26,34,21,5,7,13,16,106,401070748,Bulls,0,2018-10-26
53-93,14-32,15-16,11,39,50,30,10,10,10,18,135,401070748,Hornets,1,2018-10-26
37-95,9-35,20-24,9,39,48,19,3,8,9,25,103,401070759,Hornets,0,2018-10-27
35-91,10-28,25-30,14,42,56,18,4,8,11,23,105,401070759,76ers,1,2018-10-27
41-87,11-28,20-24,10,24,34,25,9,5,15,26,113,401070777,Heat,0,2018-10-30
44-81,13-28,24-29,8,31,39,27,7,5,14,26,125,401070777,Hornets,1,2018-10-30
41-96,8-37,21-29,14,35,49,20,12,9,10,21,111,401070792,Thunder,0,2018-11-01
38-93,11-41,20-22,11,40,51,26,7,3,17,26,107,401070792,Hornets,1,2018-11-01
35-81,10-26,14-15,3,23,26,22,10,2,13,20,94,401070807,Cavaliers,0,2018-11-03
52-91,10-30,12-13,12,38,50,29,3,7,15,17,126,401070807,Hornets,1,2018-11-03
43-110,16-40,30-40,14,35,49,25,10,5,4,33,132,401070849,Hornets,0,2018-11-09
45-94,12-37,31-41,13,46,59,33,3,15,16,33,133,401070849,76ers,1,2018-11-09
43-85,11-28,16-18,6,40,46,24,6,8,12,26,113,401070865,Hornets,0,2018-11-11
38-104,12-44,15-19,22,29,51,21,5,4,10,18,103,401070865,Pistons,1,2018-11-11
33-95,8-41,15-19,12,25,37,22,12,4,9,11,89,401070880,Hornets,0,2018-11-13
45-85,13-24,10-12,14,46,60,23,5,3,19,20,113,401070880,Cavaliers,1,2018-11-13
39-93,11-35,33-38,9,44,53,23,9,6,19,24,122,401070906,76ers,0,2018-11-17
42-99,10-31,25-27,9,40,49,23,10,3,17,29,119,401070906,Hornets,1,2018-11-17
41-84,11-33,16-17,10,27,37,26,5,7,14,19,109,401070933,Pacers,0,2018-11-21
45-80,18-29,19-22,6,30,36,30,7,3,12,15,127,401070933,Hornets,1,2018-11-21
43-94,6-31,12-14,11,35,46,24,8,5,13,21,104,401070955,Hornets,0,2018-11-23
41-93,11-33,16-24,11,35,46,24,6,2,14,18,109,401070955,Thunder,1,2018-11-23
37-90,16-46,17-21,10,38,48,25,7,5,14,22,107,401070975,Bucks,0,2018-11-26
38-81,13-29,21-30,5,39,44,21,9,5,11,22,110,401070975,Hornets,1,2018-11-26
44-81,18-40,13-18,6,35,41,32,5,5,14,13,119,401071001,Jazz,0,2018-11-30
47-95,9-28,8-13,7,31,38,19,8,3,8,17,111,401071001,Hornets,1,2018-11-30
44-86,11-32,20-24,9,41,50,30,6,5,17,25,119,401071019,Pelicans,0,2018-12-02
39-91,10-36,21-28,11,30,41,25,9,6,11,19,109,401071019,Hornets,1,2018-12-02
40-98,12-33,12-15,13,27,40,27,7,1,10,15,104,401071043,Hornets,0,2018-12-05
48-89,12-24,13-20,10,40,50,34,6,11,15,15,121,401071043,Timberwolves,1,2018-12-05
39-101,8-35,21-26,20,35,55,24,6,12,9,28,107,401071049,Nuggets,0,2018-12-07
33-86,13-35,34-38,13,35,48,20,8,9,9,20,113,401071049,Hornets,1,2018-12-07
42-87,12-34,23-27,6,36,42,19,11,4,12,17,119,401071071,Hornets,0,2018-12-09
44-93,13-26,6-7,8,33,41,28,5,2,17,25,107,401071071,Knicks,1,2018-12-09
40-86,13-34,14-21,10,39,49,23,4,10,14,26,107,401071086,Pistons,0,2018-12-12
35-85,9-28,29-37,6,36,42,21,7,5,7,17,108,401071086,Hornets,1,2018-12-12
47-98,12-34,20-31,9,37,46,27,11,8,10,16,126,401071102,Knicks,0,2018-12-14
48-102,20-48,8-10,9,42,51,38,7,5,16,23,124,401071102,Hornets,1,2018-12-14
49-92,14-34,16-24,10,42,52,34,12,6,15,20,128,401071111,Lakers,0,2018-12-15
39-92,7-29,15-18,9,29,38,22,3,6,18,19,100,401071111,Hornets,1,2018-12-15
