team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Knicks,111,0.461,0.5,0.95,12,28,23,11,4,13,2017-12-12
Nets,104,0.446,0.286,0.429,11,32,21,10,4,17,2017-12-12
Nets,87,0.421,0.304,0.696,6,31,15,4,1,22,2017-12-14
Raptors,120,0.557,0.25,0.179,11,34,26,11,5,8,2017-12-14
Pacers,109,0.566,0.444,0.833,6,37,21,6,7,15,2017-12-15
Nets,97,0.42,0.364,0.515,7,22,26,7,2,9,2017-12-15
Kings,104,0.488,0.368,0.895,13,35,14,4,4,12,2017-12-17
Nets,99,0.39,0.357,0.476,14,24,15,5,7,10,2017-12-17
Wizards,84,0.366,0.25,0.55,7,28,22,7,1,7,2017-12-20
Nets,119,0.5,0.341,0.415,13,47,29,4,4,14,2017-12-20
Nets,119,0.429,0.444,0.528,18,33,24,2,2,10,2017-12-22
Pacers,123,0.522,0.435,0.826,7,34,31,8,9,8,2017-12-22
Nets,97,0.419,0.375,0.219,12,33,23,5,0,13,2017-12-23
Spurs,109,0.512,0.438,1.25,5,38,18,7,5,12,2017-12-23
Nets,113,0.456,0.5,0.316,10,33,26,8,3,15,2017-12-26
Pelicans,128,0.533,0.515,0.455,6,37,40,8,9,10,2017-12-26
Nets,111,0.494,0.423,0.846,8,46,25,8,4,18,2017-12-27
Heat,87,0.337,0.115,0.923,12,31,12,9,3,11,2017-12-27
Magic,95,0.365,0.194,0.613,19,33,16,5,5,12,2017-12-29
Nets,98,0.439,0.36,0.68,10,42,17,7,10,13,2017-12-29
Timberwolves,97,0.45,0.091,2.182,7,25,10,9,4,8,2017-12-31
Nets,98,0.514,0.467,0.333,4,34,22,3,3,19,2017-12-31
Raptors,114,0.426,0.294,0.529,8,43,19,7,12,15,2018-01-01
Nets,113,0.39,0.364,0.697,11,44,22,8,2,16,2018-01-01
Pistons,114,0.516,0.476,0.381,11,43,24,10,4,13,2018-01-03
Nets,80,0.365,0.324,0.378,2,33,19,11,2,17,2018-01-03
Nets,110,0.46,0.382,0.5,13,30,29,8,1,14,2018-01-06
Hawks,105,0.463,0.393,0.714,8,38,21,6,3,18,2018-01-06
Nets,113,0.424,0.279,0.395,13,34,28,6,3,15,2018-01-08
Wizards,119,0.495,0.435,0.739,6,41,31,10,3,15,2018-01-08
Knicks,119,0.512,0.562,1.625,8,43,27,5,10,9,2018-01-10
Nets,104,0.368,0.344,0.906,11,34,16,5,3,11,2018-01-10
Spurs,100,0.415,0.474,1.211,7,35,24,8,4,9,2018-01-12
Nets,95,0.422,0.361,0.333,6,41,23,3,1,14,2018-01-12
Heat,95,0.417,0.318,0.818,12,31,22,7,7,11,2018-01-13
Nets,101,0.474,0.281,0.625,10,34,20,5,8,14,2018-01-13
Nets,101,0.463,0.419,0.452,7,39,23,1,3,15,2018-01-15
Pistons,100,0.422,0.31,0.517,7,36,21,3,4,6,2018-01-15
Nets,108,0.468,0.421,0.474,8,37,27,1,5,12,2018-01-17
Thunder,109,0.426,0.28,0.88,16,34,12,7,4,4,2018-01-17
Nets,91,0.371,0.235,0.5,11,34,18,5,2,14,2018-01-19
Bucks,116,0.518,0.522,0.783,3,41,28,9,6,9,2018-01-19
Nets,97,0.463,0.3,0.4,11,32,22,3,7,15,2018-01-21
Timberwolves,111,0.438,0.19,1.095,16,33,20,9,7,5,2018-01-21
Nets,95,0.414,0.243,0.378,11,38,15,6,3,17,2018-01-23
Knicks,111,0.438,0.5,0.769,12,35,22,6,6,11,2018-01-23
76ers,108,0.474,0.389,1.611,6,27,17,7,5,8,2018-01-26
Nets,116,0.506,0.406,0.781,9,30,19,3,9,11,2018-01-26
Lakers,102,0.424,0.385,0.538,18,38,21,5,6,15,2018-01-27
